module,optimize,n_train,n_test,t,SMSE,MSLL,time_make_model,time_predict,time_total
gpflow_sgpr,False,100,2000,0,0.2128442106787104,-0.2737521565453901,0.15500879287719727,0.14400815963745117,0.29901695251464844
gpflow_sgpr,False,100,2000,1,0.23920462547915014,-0.1474730776916112,0.15500903129577637,0.14700841903686523,0.3020174503326416
gpflow_sgpr,False,100,2000,2,0.20725046211791026,-0.2857816154236436,0.17000961303710938,0.15700912475585938,0.32701873779296875
gpflow_sgpr,False,100,2000,3,0.20264001910355267,-0.29608989979937494,0.2390139102935791,0.1670093536376953,0.4060232639312744
gpflow_sgpr,False,100,2000,4,0.2136846393137158,-0.2706844252735277,0.2170124053955078,0.17100977897644043,0.38802218437194824
gpflow_sgpr,False,100,2000,5,0.20229818302773453,-0.2666985860299502,0.23501348495483398,0.18101048469543457,0.41602396965026855
gpflow_sgpr,False,100,2000,6,0.21445409837254914,-0.26888366277012143,0.25701475143432617,0.19201087951660156,0.44902563095092773
gpflow_sgpr,False,100,2000,7,0.2085525091589235,-0.27815942392992554,0.3060173988342285,0.2020115852355957,0.5080289840698242
gpflow_sgpr,False,100,2000,8,0.2028344083449046,-0.2967471902520327,0.3870220184326172,0.2130122184753418,0.600034236907959
gpflow_sgpr,False,100,2000,9,0.20032437773788644,-0.3028130922606944,0.33601927757263184,0.23201322555541992,0.5680325031280518
gpflow_sgpr,False,200,2000,0,0.20637173760284902,-0.2888584358613029,0.36002063751220703,0.23501348495483398,0.595034122467041
gpflow_sgpr,False,200,2000,1,0.2202256613860096,-0.25640591448455485,0.38102173805236816,0.24601411819458008,0.6270358562469482
gpflow_sgpr,False,200,2000,2,0.2122933906750308,-0.27465897990106636,0.4060230255126953,0.2540144920349121,0.6600375175476074
gpflow_sgpr,False,200,2000,3,0.20747994125479305,-0.2860857214151863,0.5130293369293213,0.2670152187347412,0.7800445556640625
gpflow_sgpr,False,200,2000,4,0.19768864410056858,-0.3090660235493416,0.4560260772705078,0.2760159969329834,0.7320420742034912
gpflow_sgpr,False,200,2000,5,0.20952927357529813,-0.2687159117644144,0.49002790451049805,0.28801655769348145,0.7780444622039795
gpflow_sgpr,False,200,2000,6,0.2006416172323925,-0.30341411840611904,0.5070290565490723,0.3260185718536377,0.83304762840271
gpflow_sgpr,False,200,2000,7,0.20717971515439343,-0.2605821462116643,0.5320303440093994,0.30701756477355957,0.839047908782959
gpflow_sgpr,False,200,2000,8,0.2067005015876789,-0.2668714182962557,0.5640323162078857,0.42002415657043457,0.9840564727783203
gpflow_sgpr,False,200,2000,9,0.2024325244590445,-0.29849481938579664,0.6200356483459473,0.32901883125305176,0.949054479598999
gpflow_sgpr,False,400,2000,0,0.18491942973911873,-0.32785584052249805,0.6190354824066162,0.34401965141296387,0.9630551338195801
gpflow_sgpr,False,400,2000,1,0.1951747540075893,-0.3165081625044129,0.6560375690460205,0.34401965141296387,1.0000572204589844
gpflow_sgpr,False,400,2000,2,0.20942651240136342,-0.27866649202193927,0.7630436420440674,0.42502427101135254,1.18806791305542
gpflow_sgpr,False,400,2000,3,0.18988444446095087,-0.3285750852876561,0.6990399360656738,0.37002110481262207,1.069061040878296
gpflow_sgpr,False,400,2000,4,0.20377928994274735,-0.29549409586289227,0.725041389465332,0.3800218105316162,1.1050631999969482
gpflow_sgpr,False,400,2000,5,0.21458955808065475,-0.26895945600938653,0.8640494346618652,0.3950226306915283,1.2590720653533936
gpflow_sgpr,False,400,2000,6,0.1963630899961089,-0.31356699382770686,0.8260471820831299,0.40502309799194336,1.2310702800750732
gpflow_sgpr,False,400,2000,7,0.21577919965260095,-0.23284651182171678,0.8040459156036377,0.4130234718322754,1.217069387435913
gpflow_sgpr,False,400,2000,8,0.20412452711036216,-0.2942738057416598,0.8470485210418701,0.42502427101135254,1.2720727920532227
gpflow_sgpr,False,400,2000,9,0.2094594788192701,-0.2819187134872114,0.8690497875213623,0.43602490425109863,1.305074691772461
gpflow_sgpr,False,800,2000,0,0.20262401641996156,-0.29823456071436516,0.8930509090423584,0.44202542304992676,1.3350763320922852
gpflow_sgpr,False,800,2000,1,0.19418860345191194,-0.3190995319049824,0.9190526008605957,0.45702600479125977,1.3760786056518555
gpflow_sgpr,False,800,2000,2,0.19266562483030747,-0.32198835786302743,1.0560603141784668,0.5170297622680664,1.5730900764465332
gpflow_sgpr,False,800,2000,3,0.19272072468820545,-0.32274926580679075,1.0970628261566162,0.4890279769897461,1.5860908031463623
gpflow_sgpr,False,800,2000,4,0.20751370915478404,-0.27992334747723624,1.0040574073791504,0.4890279769897461,1.4930853843688965
gpflow_sgpr,False,800,2000,5,0.20149763674055604,-0.2936077346358004,1.0380592346191406,0.5020287036895752,1.5400879383087158
gpflow_sgpr,False,800,2000,6,0.19931319040597378,-0.3063149852374241,1.074061393737793,0.5150296688079834,1.5890910625457764
gpflow_sgpr,False,800,2000,7,0.187624347807773,-0.3352763228725811,1.1030631065368652,0.5240299701690674,1.6270930767059326
gpflow_sgpr,False,800,2000,8,0.19537262209833625,-0.31623677343763046,1.1400651931762695,0.5430309772491455,1.683096170425415
gpflow_sgpr,False,800,2000,9,0.19423179580524133,-0.31905594202675697,1.182067632675171,0.5590319633483887,1.7410995960235596
